Billid,rfcode,issuer username,payee username,Total Amount,Monthly Amount,Paid amount,issueDate,dueDate,isPaid,payDate,status,installments,paid installments
20000000191,RF57375070662111633642749,comuser1,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
20000000192,RF31032116735681763328817,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
213141,RF47477825597808823069413,acme_inc,1234,12.0,0.92,12.0,2026-01-04,2027-02-02,true,2026-01-20,PAID,13,1
213142,RF65286386622580951848514,acme_inc,1234,200.0,200.0,0.0,2026-01-04,2026-02-02,false,,EXPIRED,1,0
213143,RF90292816464297357813434,acme_inc,1234,122.0,20.33,122.0,2026-01-04,2026-07-07,true,2026-07-01,PAID,6,6
2000000013,RF33949570232379338206119,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000014,RF10938331612925238391953,comuser1,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000015,RF13065373517488273610432,comuser1,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000016,RF21246425440342524769446,comuser1,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000017,RF65592943383233033971140,comuser1,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000018,RF37190814127457839636488,comuser1,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000021,RF93205336728885961888671,comuser2,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000022,RF54858273432754048878578,comuser2,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000023,RF06819452040218263671167,comuser2,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000024,RF82351463850292177622344,comuser2,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000025,RF72924245625008323617507,comuser2,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000031,RF62474878720304771895476,comuser3,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000032,RF43755748941022938362796,comuser3,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000033,RF93102115445012606994956,comuser3,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000034,RF66819738655994326371014,comuser3,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000035,RF14619087010288515851503,comuser3,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000041,RF48749220692537816487084,comuser4,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000042,RF53325046725721197143085,comuser4,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000043,RF16409742098248817854805,comuser4,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000044,RF46205900650700666889955,comuser4,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000045,RF94205074261947355440340,comuser4,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000051,RF49193436404256040103226,comuser5,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000052,RF84209324460316216081100,comuser5,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000053,RF68190784874876468515967,comuser5,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000054,RF31294929151174411138422,comuser5,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000055,RF77500178076647016233450,comuser5,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000061,RF48960187386889481956303,comuser6,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000062,RF86446187315800904749849,comuser6,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000063,RF75927185912517959759626,comuser6,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000064,RF83927182349155128256614,comuser6,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000065,RF32404985014543008875463,comuser6,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000071,RF12638732193926449578169,comuser7,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000072,RF97706181855124857499867,comuser7,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000073,RF74211195686194968650763,comuser7,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000074,RF91415456537111429854513,comuser7,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
2000000075,RF72433889803057275736252,comuser7,100000002,150.0,150.0,150.0,2026-01-04,2026-02-07,true,2026-01-04,PAID,1,1
2000000081,RF22360867067001522053830,comuser8,100000002,50.0,50.0,50.0,2026-01-04,2026-02-03,true,2026-01-04,PAID,1,1
2000000082,RF12023800102936451426032,comuser8,100000002,75.0,75.0,75.0,2026-01-04,2026-02-04,true,2026-01-04,PAID,1,1
2000000083,RF50325295790302923718811,comuser8,100000002,100.0,100.0,100.0,2026-01-04,2026-02-05,true,2026-01-04,PAID,1,1
2000000084,RF08537633346282022290279,comuser8,100000002,125.0,125.0,125.0,2026-01-04,2026-02-06,true,2026-01-04,PAID,1,1
